03CUmWipKQZ73hF5be5b,3,everyID,9,1,0,0
09f8evdArwApeVwKHrp5,3,everyID,9,1,0,0
0OeiOnaPTn1AiJWTUQ9i,5,everyID,2,1,0,0
0OeiOnaPTn1AiJWTUQ9i,3,everyID,4,1,0,0
0OeiOnaPTn1AiJWTUQ9i,2,everyID,6,1,0,0
0OeiOnaPTn1AiJWTUQ9i,3,everyID,3,1,0,0
0pkgBFx2seFJu3rbYpU1,5,everyID,2,1,1,0
12NkzZWimtbh5T9y1ylf,4,everyID,5,1,0,0
1FczuYa1KhNb8My5zyWl,4,everyID,3,1,1,1
1IO8yBD1O6RpnXcK8sjq,5,everyID,1,1,0,0
1lshHwyfSinJjA6wCz5J,3,everyID,9,1,0,0
1MHWgXIAzj5NRUWsar7c,4,everyID,4,1,0,1
1NsPj2YyPuCSfsrUt192,3,everyID,7,1,0,0
23dpjKcryX4K7RRuVSpC,4,everyID,8,1,0,0
2dwQEqgLfoP6PyEz2gXc,4,everyID,8,1,0,1
2raZPRxYbF0BdkT9MTmd,3,everyID,7,1,0,0
2WauMdbFXSFUMbHA6Y0W,5,everyID,2,1,1,0
2XHiM3lZMxlrPrbvnRA1,4,everyID,8,1,0,0
3OK6POn2nZu6v6k1v9XG,3,everyID,7,1,0,0
3osmEYdlQqHYs6dUVe5H,4,everyID,3,1,0,1
4AuGN3gs66WLzNqpzxzl,5,everyID,2,1,1,0
4b0KjO2t5Id5sUuSJFI6,5,everyID,1,1,0,0
4bvxx3sPGO1kgmUVVHUh,3,everyID,4,1,0,0
4IrmDRAWCJzVRMRjgU7c,1,everyID,1,1,0,0
4NODziNKGGA3NhCMUH7x,4,everyID,3,1,0,0
4ymJ04p8GXQUofMZAm4Q,3,everyID,7,1,0,0
51bcJlY296MNYN16whly,4,everyID,5,1,0,0
53Z5d9Fn1IkBxGQvkPhQ,1,everyID,2,1,0,1
5G97vJIa4SoTQCBiVuNA,5,everyID,1,1,0,0
5ie1werNr3gT9OpPRDUP,5,everyID,1,1,0,0
5MwGb8t7cJ920OS0ektS,1,everyID,1,1,0,0
5sj9eVPU1nAFapWnwde2,3,everyID,6,1,0,0
